IRI,Label,Labels,Def,Pruned,Modified,
http://purl.obolibrary.org/obo/GSSO_003203,bitch,"['bitch', 'bitches', 'bitchiness', 'bitchy']","A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.",,,
http://purl.obolibrary.org/obo/GSSO_000343,bottom,"['bottom', 'bottoms', 'catcher', 'receiver', 'receptive partner', 'bottoming']","Someone, typically a man, who is penetrated during sexual intercourse or someone who has a preference for being penetrated during such intercourse.",,,
http://purl.obolibrary.org/obo/GSSO_001695,castration,['castration'],Surgical removal or artificial destruction of gonads.,,,
http://purl.obolibrary.org/obo/GSSO_001698,circumcision,['circumcision'],A general term encompassing several types of excision of the external genitalia.,,,
http://purl.obolibrary.org/obo/GSSO_004240,cisgender,"['cisgender', 'cis', 'cisgender (cis)', 'non-transgender', 'cisgender or cis', 'cis-gender', 'cisgender and cissexual', 'cissexual', 'cisgendered', 'non-transsexual', 'cisgender identity']",Used to describe a person whose gender matches the body they were born with.,,Cambridge English Dictionary,
http://purl.org/sig/ont/fma/fma9909,clitoris,"['clitoris', 'clit', 'clitoral']","An erectile structure homologous with the penis, situated beneath the anterior labial commissure.",,,
http://purl.obolibrary.org/obo/GSSO_004181,closeted,"['closeted', 'be in the closet', 'in the closet', 'semi-closeted']","An adjective referring to an  LGBTQIA+ person or persons who have not disclosed their status as LGBTQIA+ and other related aspects of their life. More broadly, it can also be used to describe anyone who is hiding part of their identity because of social pressure.",,,
http://purl.obolibrary.org/obo/GSSO_003355,condom,"['condom', 'condoms']","A sheath-shaped barrier device, used during sexual intercourse to reduce the probability of pregnancy or a sexually transmitted infection (STI).",,,
http://purl.obolibrary.org/obo/GSSO_004042,crush,['crush'],"An infatuation with somebody, typically someone that one is not dating. ",,,
http://purl.obolibrary.org/obo/GSSO_003388,cultural appropriation,"['cultural appropriation', 'appropriation', 'cultural misappropriation']",The adoption of elements of one culture by members of another culture. This can be controversial when members of a dominant culture appropriate from disadvantaged minority cultures.,,,
http://purl.obolibrary.org/obo/GSSO_001761,cunt,['cunt'],"Vulgar and offensive term to refer to the vulva. By extension, only an extremely derogatory term to refer to a woman. Has extended further to refer to individuals who are bottoms sexually, especially in the gay male community.",,,
http://purl.obolibrary.org/obo/GSSO_003395,daddy,['daddy'],"A slang term with multiple meanings. It may refer to an attractive older man, an older man in a relationship with a young male partner, a butch lesbian who fulfills such a role in a lesbian relationship, a man who takes care of a younger partner financially, or a procurer of sex workers, among other things.",,,
http://purl.obolibrary.org/obo/PATO_0001422,dead,['dead'],A viability quality inhering in a bearer by virtue of the cessation of the bearer's life.,,,
http://purl.obolibrary.org/obo/GSSO_004103,death,"['death', 'deaths', 'death and dying']","Death is the permanent cessation of all biological functions that sustain a living, physical organism.",,,
http://purl.obolibrary.org/obo/GSSO_010002,deity,"['deity', 'deities', 'deities and spirits', 'god', 'goddess']","A divine being who is revered specifically as having supernatural powers and understanding, especially when compared to human beings. Deities are usually worshiped by religious sects.",,,
http://semanticscience.org/resource/SIO_000828,disgust,"['disgust', 'digusted', 'disgusting']",Disgust is a feeling of revulsion or profound disapproval aroused by something unpleasant or offensive.,,,
http://purl.obolibrary.org/obo/GSSO_007315,divorce,"['divorce', 'divorces', 'dissolution of marriage', 'divorced', 'divorcing']",Legal dissolution of an officially recognized marriage relationship.,,,
http://purl.obolibrary.org/obo/GSSO_003653,domination,['domination'],"The act of dominating; exercise of power in ruling; dominion; supremacy; authority, often when arbitrary or insolent.",,,
http://purl.obolibrary.org/obo/GSSO_003425,drama,"['drama', 'dramas']","The specific mode of literature represented in performance: a play, opera, mime, ballet, etc., performed in a theatre, or on radio or television.",,,
http://purl.obolibrary.org/obo/GSSO_012524,dramatic scene,"['dramatic scene', 'dramatic scenes', 'scene']","A part of a dramatic work that is set in the same place or time. In the theatre, generally a number of scenes constitute an act.",,,
http://purl.obolibrary.org/obo/GSSO_003409,dress,"['dress', 'dresses']",A garment consisting of a skirt with an attached bodice.,,Summary,
http://semanticscience.org/resource/SIO_010038,drug,"['drug', 'drugs', 'drug substance', 'pharmaceutical agent', 'pharmacologic agent', 'pharmacologic substance']","Any substance which when absorbed into a living organism may modify one or more of its functions. The term is generally accepted for a substance taken for a therapeutic purpose, but is also commonly used for abused substances.",,,
http://purl.obolibrary.org/obo/GSSO_005857,duke,"['duke', 'dukes', 'duchess']","The rule of a duchy or otherwise a high title of nobility, the holder of a dukedom.",,,
http://purl.obolibrary.org/obo/GSSO_001907,ejaculation,"['ejaculation', 'ejaculations', 'ejaculation, NOS']",The expulsion of fluid from the genital area.,,,
http://purl.obolibrary.org/obo/NCIT_C150720,engaged,"['engaged', 'engaged to be married', 'is engaged', 'affianced', 'betrothed']",In a formal agreement for marriage.,,,
http://semanticscience.org/resource/SIO_000834,envy,"['envy', 'envious']","Envy is an emotion that occurs when a person lacks another's (perceived) superior quality, achievement or possession and wishes that the other lacked it.",,,
http://purl.obolibrary.org/obo/GSSO_002955,equality,"['equality', 'equal', 'equals']",The quality of being the same in quantity or measure or value or status.,,,
http://purl.obolibrary.org/obo/GSSO_004025,eroticism,"['eroticism', 'erotism', 'erotic feeling', 'eroticism - finding']","A quality that causes sexual feelings, as well as a philosophical contemplation concerning the aesthetics of sexual desire, sensuality, and romantic love.",,,
http://purl.obolibrary.org/obo/GSSO_001594,exploring gender identity,"['exploring gender identity', 'Q', 'questioning', 'questioning gender identity', 'questioning gender identity datum']","A gender identity in question, in the process of being questioned, or otherwise being explored.",,,
http://purl.org/sig/ont/fma/fma54237,eyebrow,"['eyebrow', 'eyebrows']","The eyebrow is an area of thick, delicate hairs above the eye that follows the shape of the lower margin of the brow ridges. ",,Summary,
http://purl.org/sig/ont/fma/fma24728,face,"['face', 'faces', 'facial']",A subdivision of the head that has as parts the layers deep to the surface of the anterior surface.,,,
http://purl.obolibrary.org/obo/GSSO_001433,fag,"['fag', 'fags', 'agfay']","A derogatory term for a gay person, typically a feminine gay man.",,,
http://purl.obolibrary.org/obo/GSSO_001434,faggot,"['faggot', 'faggots', 'faggart', 'fagot', 'f*ggot', 'faggotry', 'faggoty']","A pejorative term to refer to a gay man. It may also be used as a pejorative term for a ""repellent man"" or to refer to women who are lesbian (or to transgender people, typically transgender women). ",,Summary,
http://purl.obolibrary.org/obo/GSSO_003265,family,"['family', 'families']","A group of people related either by consanguinity (by recognized birth), affinity (by marriage or other relationship), or co-residence (as implied by the etymology of the English word ""family"") or some combination of these. ",,Summary,
http://semanticscience.org/resource/SIO_000837,fear,['fear'],Fear is a negative emotion induced by a perceived threat that induces one to hide or move quickly away from the location of the perceived threat.,,,
http://purl.obolibrary.org/obo/NCIT_C77965,feeling,"['feeling', 'feelings']",Emotional sensations.,,,
http://purl.obolibrary.org/obo/GSSO_000089,female gender identity,"['female gender identity', 'F', 'female', 'female identity', 'female gender identity datum', 'identifies as female gender']",Having an identity considered female.,,,
http://purl.obolibrary.org/obo/GSSO_001697,female genital mutilation,"['female genital mutilation', 'FGM']",The ritual cutting or removal of some or all of the external female genitalia.,,,
http://purl.obolibrary.org/obo/GSSO_000094,feminine gender expression,"['feminine gender expression', 'feminine', 'feminine-presenting']","Usage of clothing, behavior, posture, mannerisms, speech patterns, and activites, among other things, to indicate a female gender identity or gender role.",,,
http://purl.obolibrary.org/obo/GSSO_002229,feminism,['feminism'],"Feminism is a range of political movements, ideologies, and social movements that share a common goal: to define, establish, and achieve political, economic, personal, and social equality of sexes.",,Summary,
http://purl.obolibrary.org/obo/GSSO_001189,feminist,"['feminist', 'feminists']",An advocate of feminism; a person who believes in bringing about the equality of the sexes (of women and men) in all aspects of public and private life.,,,
http://purl.org/sig/ont/fma/fma63919,fetus,"['fetus', 'feti', 'fetuses', 'foeti', 'foetuses', 'foetus', 'unborn child']",Developmental organism from 8 weeks of gestation to birth.,,,
http://purl.org/sig/ont/fma/fma78440,flatulence,"['flatulence', 'fart', 'flatulence and related conditions']",Excretion in gaseous state processed in the stomach and small intestine.,,,
http://purl.obolibrary.org/obo/GSSO_003693,freedom,"['freedom', 'freedoms']",The rights of individuals to act and make decisions without external constraints.,,,
http://purl.obolibrary.org/obo/GSSO_004152,fuck,"['fuck', 'f**k', 'f*ck', 'fucked', 'fucking', 'f***']",A rude word meaning to have sex with someone.,,Cambride English Dictionary,
http://purl.obolibrary.org/obo/GSSO_003047,gang rape,"['gang rape', 'group rape']",Rape involving at least two or more violators (typically at least three).,,,
http://purl.obolibrary.org/obo/GSSO_001591,gay,"['gay', 'G', 'gay sexual orientation', 'homosexual']","Sexual attraction between two or more people of the same gender or the same gender-area (for example, a man being attracted to a transmasculine person), especially between two men.",,,
http://purl.obolibrary.org/obo/NCIT_C17357,gender,"['gender', 'genders', 'psychogender']","Identification as male/masculine, female/feminine or something else, and association with a (social) role or set of behavioral and cultural traits, clothing, etc.",,Summary,
http://semanticscience.org/resource/SIO_000841,guilt,"['guilt', 'guilty']",A feeling of shame and sorrow based on the belief of having done something wrong or failing an obligation.,,,
http://purl.obolibrary.org/obo/GSSO_003037,gun violence,"['gun violence', 'gun-based violence', 'gun-related violence', 'shooting']",Violence committed with the use of a gun (firearm or small arm).,,,Summary
http://purl.obolibrary.org/obo/NCIT_C17720,gynecologist,"['gynecologist', 'gynecologists', 'gynaecologist']",A doctor who specializes in diagnosing and treating diseases and disorders of the female reproductive organs.,,,
http://purl.org/sig/ont/fma/fma53667,hair,"['hair', 'hairs']",A filament-like structure consisting of a shaft which projects to the surface of the skin from a root which is softer than the shaft and lodges in the cavity of a hair follicle. It is found on most surfaces of the body.,,,
http://semanticscience.org/resource/SIO_000840,happiness,"['happiness', 'happy']",Happiness is an emotion characterized by positive or pleasant emotions ranging from contentment to intense joy.,,,
http://purl.obolibrary.org/obo/GSSO_003314,harassment,"['harassment', 'harass', 'harassed', 'harasses', 'harassing']","A wide range of behaviors of an offensive nature. It is commonly understood as behavior that demeans, humiliates or embarrasses a person.",,Summary,
http://purl.obolibrary.org/obo/GSSO_002437,her,['her'],"To refer to a woman, girl, or female animal that has just been mentioned or is just about to be mentioned:",,Cambride English Dictionary,
http://purl.obolibrary.org/obo/GSSO_001506,hermaphroditism,"['hermaphroditism', 'hermaphrodism', 'intersex organism']",Condition of possessing both male and female reproductive organs.,,,
http://purl.obolibrary.org/obo/GSSO_002439,herself,['herself'],"Used to emphasize a particular woman, girl, or female animal.",,Cambride English Dictionary,
http://purl.obolibrary.org/obo/GSSO_001592,heterosexual,"['heterosexual', 'hetero', 'straight', 'heterophilia', 'not gay']","Sexually attracted to a person defined as being of the ""opposite"" sex (i.e. male attracted to female or female attracted to male); more broadly, attracted to a gender that is not one's own.",,,
http://purl.obolibrary.org/obo/GSSO_002438,him,['him'],"To refer to a man, boy, or male animal that has just been mentioned or is just about to be mentioned.",,Cambride English Dictionary,
http://purl.obolibrary.org/obo/GSSO_002440,himself,['himself'],"Used to emphasize a particular man, boy, or male animal",,Cambride English Dictionary,
http://purl.obolibrary.org/obo/GSSO_002453,his,['his'],"Belonging to or connected with a man, boy, or male animal that has just been mentioned or is known about.",,Cambride English Dictionary,
http://semanticscience.org/resource/SIO_000660,hole,"['hole', 'holes']",An aperture or hollow space within a solid mass.,,,
http://purl.obolibrary.org/obo/GSSO_005867,homo,"['homo', 'homos']","Clipping of the term ""homosexual"".",,,
http://purl.obolibrary.org/obo/GSSO_002861,homophobia,"['homophobia', 'gayphobia', 'homoerotophobia', 'gaycism', 'homomismia', 'homophobic', 'homophobism']","A range of negative attitudes and feelings toward homosexuality and gay people. It has been defined as contempt, prejudice, aversion, hatred or antipathy, may be based on irrational fear and ignorance, and is often related to religious beliefs.",,,
http://purl.obolibrary.org/obo/GSSO_000705,homosexuality,"['homosexuality', 'homosexualities', 'same-sex sexuality', 'homo-sexuality']",The state of being sexually and romantically attracted primarily or exclusively to persons of a gender identity the same as one's own.,,,
http://purl.org/sig/ont/fma/fma12278,hormone,"['hormone', 'hormones', 'mone']","Referring to a compound  formed in specialized organ or group of cells, in the same organism, upon which it has a specific regulatory function.",,Summary,
http://purl.obolibrary.org/obo/GSSO_003630,hormone therapy,"['hormone therapy', 'hormone therapies', 'HT', 'hormonal therapeutic procedure', 'hormonal therapy', 'hormonal intervention', 'hormonal treatment', 'hormonal interference']",Any therapeutic technique which uses hormones in medical treatment.,,,
http://purl.obolibrary.org/obo/GSSO_002735,hos,['hos'],"An insulting word for a woman, especially one who is considered to have a lot of sexual partners.",,Cambride English Dictionary,
http://semanticscience.org/resource/SIO_001281,humiliation,['humiliation'],A feeling of extreme embarrassment.,,,
http://semanticscience.org/resource/SIO_000845,hurt,['hurt'],"Hurt is an unpleasant feeling, emotion or sensation.",,,
http://purl.obolibrary.org/obo/GSSO_004694,infidelity,"['infidelity', 'cheating']",A violation of a partner's assumed or stated contract regarding emotional and/or sexual exclusivity. ,,Summary,
http://purl.obolibrary.org/obo/GSSO_009123,injury,"['injury', 'injuries', 'physical trauma', 'wounds and injuries']","Damage inflicted on the body as the direct or indirect result of an external force, with or without disruption of structural continuity.",,,
http://purl.obolibrary.org/obo/GSSO_006554,insult behavior,"['insult behavior', 'insult behaviors', 'insult']",A behavior which is deemed disrespectful or scornful.,,,
http://purl.obolibrary.org/obo/GSSO_003665,intersectional theory,"['intersectional theory', 'intersectionality', 'intersectional', 'intersectional feminism']",A qualitative analytic framework that identifies how interlocking systems of power affect those who are most marginalized in society.,,,
http://purl.obolibrary.org/obo/GSSO_001498,intersex condition,"['intersex condition', 'intersex conditions', 'condition affecting reproductive development', 'intersex spectrum', 'intersex trait', 'intersex variation', 'congenital eunuchism', 'hermaphroditism', 'intersex disorder']","Any of various conditions, states, or statuses considered intersex.",,,
http://purl.obolibrary.org/obo/GSSO_006819,killing,"['killing', 'killings', 'kill', 'killed', 'kills']",An event in which an organism is killed.,,,
http://purl.obolibrary.org/obo/GSSO_011155,lesbian,"['lesbian', 'lesbian orientation', 'lesbian sexual orientation']","A sexual orientation describing someone with a female gender identity who is attracted to those with female gender identities, or attraction to those identifying within a feminine gender-area (including transfeminine persons, femme nonbinary people, nonbinary women, demigirls, etc.).",,,
http://purl.obolibrary.org/obo/GSSO_009028,liberalism,['liberalism'],"A political and moral philosophy based on liberty, consent of the governed and equality before the law.",,,
http://purl.obolibrary.org/obo/GSSO_007921,licking,"['licking', 'licking behavior', 'lick', 'licked', 'licks']",The act of stroking or touching with the tongue.,,,
http://purl.obolibrary.org/obo/GSSO_005100,lingerie,['lingerie'],"Underwear or nightclothes, especially when lacy or designed to be seductive.",,,
http://semanticscience.org/resource/SIO_000412,love,"['love', 'loved', 'loves', 'loving']","Affection; in psychiatry commonly refers to pleasure, particularly as it applies to gratifying experiences between individuals.",,,
http://semanticscience.org/resource/SIO_000853,lust,"['lust', 'erotic interest', 'sexual desire', 'sexual interest']",Lust is the strong desire for sex.,,,
http://purl.obolibrary.org/obo/GSSO_000090,male gender identity,"['male gender identity', 'male', 'M', 'male identity', 'male gender identity datum', 'identifies as male gender']",Having an identity considered male.,,,
http://purl.obolibrary.org/obo/GSSO_000370,man,"['man', 'men', 'boy', 'self-identifies as male']","A person whose identity is male, based on societal and cultural conceptualizations of being male, usually (but not always) reflected by specific anatomical variations, chromosome combinations, and/or sex hormones.",,,
http://purl.obolibrary.org/obo/GSSO_000376,man who has sex with men,"['man who has sex with men', 'male who has sex with males', 'men who has sex with men', 'MSM', 'gay, bisexual and other men who have sex with men', 'man who has sex with men and transgender women', 'self-identified man who has sex with men']","Male persons who engage in sexual activity with members of the same sex, regardless of how they identify themselves.",,,
http://purl.obolibrary.org/obo/GSSO_009742,marital abandoment,"['marital abandoment', 'abandonment', 'spousal abandonment', 'marital desertion', 'spousal desertion']",Deliberate and voluntary abandonment of a marital partner with the intention of ending the marriage agreement without justification and without intent of reunion.,,,
http://purl.obolibrary.org/obo/GSSO_001968,marital partner,"['marital partner', 'marital partners', 'married partner', 'spouse', 'husband', 'wife']",A partner in marriage.,,,
http://purl.obolibrary.org/obo/GSSO_003838,marriage,"['marriage', 'marriages']","A culturally recognized union between people, called spouses. The definition of marriage varies around the world, not only between cultures and between religions, but also throughout the history of any given culture and religion. ",,Summary,
http://purl.obolibrary.org/obo/NCIT_C51773,married,"['married', ""I'm married"", 'is married']",Indicates a person currently joined in a legally binding matrimonial union. Classify common law marriage as married. Includes married couples living together and not living together.,,,
http://purl.obolibrary.org/obo/GSSO_000095,masculine gender expression,"['masculine gender expression', 'masc', 'masculine', 'masculine-presenting']","Usage of clothing, behavior, posture, mannerisms, speech patterns, and activites, among other things, to indicate a male gender identity or gender role.",,,
http://purl.obolibrary.org/obo/GSSO_001389,masturbation,"['masturbation', 'manustupration', 'peripheral excitement', 'masturbation, NOS', 'onanism']",Sexual stimulation or gratification of the self.,,,
http://purl.bioontology.org/ontology/MESH/D008598,menstruation,"['menstruation', 'menstruations', 'desquamation phase', 'menstrual', 'menstrual period', 'menstrual phase', 'menstrual period', 'menstruate', 'menstruated', 'menstruates', 'menstruating', 'period', 'shark-week']",The normal physiologic discharge through the vagina of blood and mucosal tissues from the nonpregnant uterus.,,,
http://purl.obolibrary.org/obo/GSSO_006562,mocking,"['mocking', 'mockery']","The act of insulting or making light of a person or other thing, sometimes merely by taunting, but often by making a caricature, purporting to engage in imitation in a way that highlights unflattering characteristics.",,,
http://purl.obolibrary.org/obo/GSSO_005860,model,"['model', 'models', 'fashion model']","A person who serves as a subject for artwork or fashion, usually in the medium of photography but also for painting or drawing.",,,
http://purl.obolibrary.org/obo/GSSO_003890,molly,"['molly', 'mollies', 'mally', 'molley', 'mollie']","Derogatory term for a feminine gay man, or any man considered feminine.",,,
http://purl.obolibrary.org/obo/GSSO_005680,murder,"['murder', 'murders']","The unlawful killing of another human without justification or valid excuse, especially the unlawful killing of another human with malice aforethought.",,,
http://purl.org/sig/ont/fma/fma54326,nail,"['nail', 'nails']",A horn-like keratin structure covering the dorsal aspect of the terminal phalanges of fingers and toes.,,,
http://purl.obolibrary.org/obo/GSSO_003739,nancy,"['nancy', 'Nancy', 'Miss Nancy', 'nancy boy']",An feminine man suspected of homosexual tendencies or relations.,,,
http://purl.obolibrary.org/obo/GSSO_005045,necktie,"['necktie', 'neckties', 'tie']","A long piece of cloth, worn, usually by men, for decorative purposes around the neck, resting under the shirt collar and knotted at the throat.",,,
http://purl.obolibrary.org/obo/GSSO_011301,normativism,"['normativism', 'normative', 'normativist', 'normativity']","An ideology which advocates in regard to the primacy of or the desirability of social norms, or the current socio-political norm; contrast with deviationism.",,,
http://purl.obolibrary.org/obo/GSSO_004010,nude,"['nude', 'in the nude', 'nakedness', 'nudity']",The state of being nude.,,,
http://semanticscience.org/resource/SIO_000398,nurse,"['nurse', 'nurses']","A nurse is a person whose job is to care for people who are ill or injured, especially in a hospital.",,Cambridge English Dictionary (too long),
http://purl.obolibrary.org/obo/GSSO_003755,offensiveness,"['offensiveness', 'offended', 'offensive']","The quality of being offensive; i.e. causing offense or arousing a visceral reaction of disgust, anger, or hatred.",,,
http://purl.obolibrary.org/obo/GSSO_005319,orgasm phase,"['orgasm phase', 'orgasm', 'orgasmic phase', 'female orgasm phase', 'male orgasm phase', 'acmegenesis', 'cumming', 'orgasmic', 'sexual climax']","Orgasm is the sudden discharge of accumulated sexual excitement during the sexual response cycle, resulting in rhythmic muscular contractions in the pelvic region characterized by sexual pleasure.",,,
http://purl.obolibrary.org/obo/GSSO_001764,pansy,"['pansy', 'pansies']","A pejorative term for a feminine man, a gay man, a transfeminine person, or a trans woman.",,,
http://purl.obolibrary.org/obo/GSSO_006667,pap smear,"['pap smear', 'pap smears', 'Pap test', 'Papanicolaou test', 'pap test', 'Pap smear']",A biospecimen collection and staining procedure in which secretions and superficial cells of the cervix are collected and stained with the Papanicolaou stain followed by microscopic examination to identify the presence of abnormal cells.,,,
http://purl.obolibrary.org/obo/GSSO_001953,parent,"['parent', 'parents', 'ren', 'father', 'mother', 'ren', 'parental']",A caretaker and/or immediate progenitor of a child.,,,
http://purl.obolibrary.org/obo/GSSO_001954,partner,"['partner', 'partners', 'significant other', 'boyfriend', 'girlfriend', 'domestic partner']","A spouse or other person with whom one shares a domestic, romantic or sexual bond.",,,
http://purl.obolibrary.org/obo/GSSO_001265,pedophilia,"['pedophilia', 'paedophilia', 'pædophilia', 'korophilia', 'pederosis', 'paidophilia']",Sexual attraction to children by adults.,,,
http://purl.obolibrary.org/obo/GSSO_001289,pedophilic behavior,"['pedophilic behavior', 'pedophilic behaviors', 'pedophilism']","Sexual behavior involving young adolescents or children in a sense that is nonnormative and typically criminal in the given society, such as child rape in the contemporary United States.",,,
http://purl.obolibrary.org/obo/GSSO_001951,pibling,"['pibling', 'piblings', 'ommer', 'aunt', 'uncle']",A sibling of a parent.,,,
http://purl.obolibrary.org/obo/GSSO_002664,plastic surgery,['plastic surgery'],The branch of surgery concerned with therapeutic or cosmetic reformation of tissue.,,,
http://purl.obolibrary.org/obo/GSSO_000595,pornographic film,"['pornographic film', 'pornographic films', 'porn film', 'porno', 'adult film', 'skin flick']",A sex film which does not usually claim any artistic merit.,,,
http://purl.obolibrary.org/obo/GSSO_003451,pornography,"['pornography', 'porn']",The portrayal of sexual subject matter for the exclusive purpose of sexual arousal.,,,
http://purl.obolibrary.org/obo/GSSO_001786,PrEP,"['pre-exposure prophylaxis', 'PrEP']","The use of drugs to prevent disease in people who have not yet been exposed to a disease-causing agent, usually a virus.",,,
http://purl.obolibrary.org/obo/GSSO_000835,premarital coitus,"['premarital coitus', 'premarital sex', 'premarital sexual intercourse', 'pre-marital coitus']",Coitus and/or sexual intercourse practiced by persons before they are married.,,,
http://purl.obolibrary.org/obo/GSSO_003806,pussy,"['pussy', 'pussies']",Slang for vagina; sometimes used generally as slang for femininity.,,,
http://purl.obolibrary.org/obo/GSSO_000155,queen,"['queen', 'queens', 'kween', 'queenie']",A gay man who is considered to be feminine.,,,
http://purl.obolibrary.org/obo/GSSO_012413,queer,"['queer', 'queerness']",A multifaceted term used as an umbrella term for being non-cisgender and/or non-heterosexual.,,,
