Question ID,dataset,comment_id,Question,box_entity,box_def,Position
13,mhs,45634,nigga u dumber then dummer that beat hard nahh bitch,"['beat', 'bitch']","['Assaultive behavior in which a person (who may be considered a victim) is hit or struck repeatedly, with or without a weapon.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.']",11
15,gabhatecorpus,16160,"Yeah, also I think a lot of the surveillance and bi- tech themes they portrayed are pretty spot on. I agree with you, it 's not really hard to imagine a real life NSF uprising happening under Hillary.",['bi-'],"['Bisexual. Historically, bisexual referred to attraction to persons of two gender identities, typically, but not always, defined as male and female. In modern use, it is usually used to refer to persons who are sexually and/or romantically attracted to persons with a gender or genders like theirs and those with a gender or genders unlike theirs.']",12
16,hatexplain,17631430_gab,transparency kinda like what the bisexual moslem nigger was hawking never delivered,['bisexual'],"['Historically, bisexual referred to attraction to persons of two gender identities, typically, but not always, defined as male and female. In modern use, it is usually used to refer to persons who are sexually and/or romantically attracted to persons with a gender or genders like theirs and those with a gender or genders unlike theirs.']",13
17,mhs,7769,"shut yo bitch ass up nigga, you sound like you know nothing about basketball. and you 're from fuck nasty ass tx, keep that same energy next hurricane bruh.","['bruh', 'bitch', 'fuck']","['used as a friendly way of talking to someone, especially a male friend', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.', 'A rude word used when expressing extreme anger']",14
18,gabhatecorpus,27014,I deleted the posts that offended all ye cute widdle snowflake bitches.¬† ,"['snowflake', 'bitches', 'offended']","['Derogatory slang referring to someone who has (or appears to have) an inflated sense of uniqueness, an unwarranted sense of entitlement, or are overly-emotional, easily offended, and unable to deal with opposing opinions.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.', 'The quality of being offensive; i.e. causing offense or arousing a visceral reaction of disgust, anger, or hatred.']",15
19,hatexplain,24469967_gab,look at the price of shit in tis bitch,"['bitch', 'shit']","['A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.', 'Nonsense, or something of low quality.']",16
20,mhs,33144,i don 't lurk on the next nigga account. i barely look at the bitch I 'm fuccing on account y 'all be a different breed,['bitch'],"['A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.']",17
21,xtremespeech,25645,,"['bottom', 'her']","['The part of your body that you sit on.', 'To refer to a woman, girl, or female.']",18
22,mhs,44300,"@candida navedo you are a closet racist, deal with it.","['closet', 'racist']","['An adjective referring to an  LGBTQIA+ person or persons who have not disclosed their status as LGBTQIA+ and other related aspects of their life. More broadly, it can also be used to describe anyone who is hiding part of their identity because of social pressure.', 'A prejudice-motivated crime which occurs when a perpetrator targets a victim because of their membership (or perceived membership) in a particular race.']",19
23,gabhatecorpus,10390,McCain completely out of the closet,['out of the closet'],"['A metaphor for LGBTQIA+ people's self-disclosure of their sexual orientation or of their gender identity. Framed and debated as a privacy issue, coming out of the closet is described and experienced variously as a psychological process or journey; decision-making or risk-taking; a strategy or plan; a mass or public event; a speech act and a matter of personal identity; a rite of passage; liberation or emancipation from oppression; an ordeal; a means toward feeling gay pride instead of shame and social stigma; or even career suicide.']",20
24,hatexplain,18738836_gab,"so what have you, alt right, anti semitic homophobic beta cucks done, but cost votes and give the left their bogey men. ps none of you are alpha males, you are beta cucks who virtue signal by calling people gay to hide all the dicks you cram down your throats","['cucks', 'dicks', 'men', 'males', 'gay', 'homophobic']","['The husband of an adulterous wife.', 'A rude word for a penis.', 'A person whose identity is male, based on societal and cultural conceptualizations of being male, usually (but not always) reflected by specific anatomical variations, chromosome combinations, and/or sex hormones.', 'Having an identity considered male.', 'Sexual attraction between two or more people of the same gender or the same gender-area (for example, a man being attracted to a transmasculine person), especially between two men.', 'A range of negative attitudes and feelings toward homosexuality and gay people. It has been defined as contempt, prejudice, aversion, hatred or antipathy, may be based on irrational fear and ignorance, and is often related to religious beliefs.']",21
25,hatexplain,10768418_gab,according to the entire establishment if you are white and you dare to object to your humiliation dispossession violence against you is justified a direct quote from cuban cuck cum bucket marco rubio,"['cuck', 'cum', 'violence', 'humiliation']","['The husband of an adulterous wife.', 'Seminal fluid.', 'An act of aggression between individuals.', 'A feeling of extreme embarrassment.']",22
26,hatexplain,4391012_gab,<user> i have said that exactly to him he lives in the cuck shed after work and is only allowed out to prep her nigger pet to get it up for him it the only sexual contact he has with her other than snowballing the bulls ejaculate into her sloppy cunt,"['cuck', 'sexual', 'her', 'him', 'cunt', 'ejaculate', 'PrEP', 'he']","['The husband of an adulterous wife. ', 'relating to the activity of sex.', 'To refer to a woman, girl, or female.', 'To refer to a man, boy, or male.', 'Vulgar and offensive term to refer to the vulva.', 'The expulsion of fluid from the genital area.', 'The use of drugs to prevent disease in people who have not yet been exposed to a disease-causing agent, usually a virus.', 'Used as the subject of a verb to refer to a man, boy, or male.']",23
27,hatexplain,3501896_gab,"new rules2017 if your post contains the words racist mysogonistic islamaphobe nazi it will be deregulated to specious drivel, if your post contains toxic masculinity intersectional cultural appropriation you are publically stating to the world that your a mindless asshat happy posting","['misogynistic', 'cultural appropriation', 'masculinity', 'intersectional']","['showing feelings of hating women or a belief that men are better than women', 'The adoption of elements of one culture by members of another culture. This can be controversial when members of a dominant culture appropriate from disadvantaged minority cultures.', 'Usage of clothing, behavior, posture, mannerisms, speech patterns, and activites, among other things, to indicate a male gender identity or gender role.', 'A qualitative analytic framework that identifies how interlocking systems of power affect those who are most marginalized in society.']",24
28,mhs,14422,"bitch cunt fuck, what a load of fucking bullshit","['cunt', 'bitch', 'fuck']","['Vulgar and offensive term to refer to the vulva. By extension, only an extremely derogatory term to refer to a woman. Has extended further to refer to individuals who are bottoms sexually, especially in the gay male community.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.', 'A rude word used when expressing extreme anger']",25
29,mhs,47930,how did these bitches get into office? go home you dirty brown cunts,"['cunts', 'bitches']","['Vulgar and offensive term to refer to the vulva. By extension, only an extremely derogatory term to refer to a woman. Has extended further to refer to individuals who are bottoms sexually, especially in the gay male community.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.']",26
30,gabhatecorpus,9545,"johann attracts a lot of cunts... I 've never counted them though, you 're 10-a-penny.",['cunts'],"['Vulgar and offensive term to refer to the vulva. By extension, only an extremely derogatory term to refer to a woman. Has extended further to refer to individuals who are bottoms sexually, especially in the gay male community.']",27
31,mhs,48450,omar needs to be deported send her back to somalia and let her vent then and complain she would be stoned to death,"['death', 'her', 'she']","['Death is the permanent cessation of all biological functions that sustain a living, physical organism.', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.]",28
32,hatexplain,18966202_gab,yeah becasue you are one of those trailer trash cunts living in the ghetto countryside you disgusting whore,"['whore', 'disgusting', 'cunts']","['A person, usually a woman, who is considered sexually promiscuous or engaging in sex work.', 'Disgust is a feeling of revulsion or profound disapproval aroused by something unpleasant or offensive.', 'Vulgar and offensive term to refer to the vulva. By extension, only an extremely derogatory term to refer to a woman. Has extended further to refer to individuals who are bottoms sexually, especially in the gay male community.']",29
33,hatexplain,25941818_gab,i expect niglets first then divorce bitch gonna get royal paid,"['divorce', 'bitch', 'niglets']","['Legal dissolution of an officially recognized marriage relationship.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.', 'Slang, US, offensive, derogatory, ethnic slur to refer to a black child.']",30
34,mhs,23438,blessing okoro joins other nigerians to mock herself by re- enacting her gate scene (video) url url,"['scene', 'her', 'herself', 'mock']","['An expression of great anger or similar feelings, often between two people, or an occasion when this happens.', 'To refer to a woman, girl, or female.', 'Used to emphasize a particular woman, girl, or female.', 'The act of insulting or making light of a person or other thing, sometimes merely by taunting, but often by making a caricature, purporting to engage in imitation in a way that highlights unflattering characteristics.']",31
35,hatexplain,25423119_gab,i suspect she is busy with animation work she does not have any chink slaves to animate scenes for her afterall shit takes forever to do alone,"['chink', 'scenes', 'her', 'she', 'shit']","['an extremely offensive word for a Chinese person or someone who is thought to be Chinese', 'A part of a dramatic work that is set in the same place or time. In the theatre, generally a number of scenes constitute an act.', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'Nonsense, or something of low quality.']",32
36,mhs,46150,"the rag on omar 's hesd is offensive to me. i have to adhere to dress codes depending where i go! her rag, a symbol of her evil religion should be worn in her mosque","['dress codes', 'her', 'offensive']","['an accepted way of dressing for a particular occasion or in a particular social group', 'To refer to a woman, girl, or female.', 'The quality of being offensive; i.e. causing offense or arousing a visceral reaction of disgust, anger, or hatred.']",33
37,gabhatecorpus,6423,Melania looks like a Disney Princess in that yellow dress. I have to save her from the evil goblin monster Blonald Blumph. She deserves better than that scrub. She deserves Johnny.,"['princess', 'dress', 'her', 'she']","['an important female member of a royal family', 'A garment consisting of a skirt with an attached bodice.', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",34
38,hatexplain,25934836_gab,something seems all wrong about this whole thing‚ should not there be some retard screaming about how there culture is not her goddamn wedding dress royalwedding meghanandharry,"['her', 'wedding dress']","[ 'To refer to a woman, girl, or female.', 'The dress worn by the bride during a wedding ceremony.']",35
40,hatexplain,1107993873639460864_twitter,like a dike bitch niggas can ‚t fuck wit me ,"['dike', 'bitch', 'fuck']","['Dyke: A slang noun meaning lesbian; it is also a slang adjective describing things associated with being a lesbian. It originated as a homophobic and misogynistic slur for a masculine, butch, tomboyish, or androgynous woman. While pejorative use of the word still exists, the term dyke has been reappropriated by many lesbians as a word implying assertiveness and toughness, or simply as a neutral synonym for lesbian.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.', 'A rude word meaning to have sex with someone.']",36
41,xtremespeech,4198,,"['equals', 'hair', 'his']","['The quality of being the same in quantity or measure or value or status.', 'A filament-like structure consisting of a shaft which projects to the surface of the skin from a root which is softer than the shaft and lodges in the cavity of a hair follicle. It is found on most surfaces of the body.', 'Belonging to or connected with a man, boy, or male.']",37
43,gabhatecorpus,1917,"There 's nothing envy, bitch. You 're a fucking nobody.","['envy', 'bitch', 'fucking']","['Envy is an emotion that occurs when a person lacks another's (perceived) superior quality, achievement or possession and wishes that the other lacked it.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.', 'A rude word used when expressing extreme anger']",38
44,hatexplain,1178734015555264512_twitter,questioning my masculinity will not get you nowhere niggers,"['questioning', 'masculinity']","['exploring gender identity: A gender identity in question, in the process of being questioned, or otherwise being explored.', 'masculine gender expression: Usage of clothing, behavior, posture, mannerisms, speech patterns, and activites, among other things, to indicate a male gender identity or gender role.']",39
45,hatexplain,12726876_gab,sarah huckabe slanders can barely read her notes does not know how to put on false eyelashes does not know how to shape her eyebrows attractively pronounces many of her sounds like a street nigger or michelle obama instead of saying administration she adds an sh sound adminishtration,"['eyelashes', 'eyebrows', 'her', 'she']","['Any of the short hairs that grow on the edge of the eyelid.', 'The eyebrow is an area of thick, delicate hairs above the eye that follows the shape of the lower margin of the brow ridges. ', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",40
46,mhs,26720,shut up you frog face ass bitch you look like you was in 8 mile nigga url,"['face', 'bitch']","['A subdivision of the head that has as parts the layers deep to the surface of the anterior surface.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.']",41
47,hatexplain,14432295_gab,great two niggers one who shaves his hair line one that does not shave her hairline but does shave her facial hair that which makes the difference between a nigger and a monkey,"['shaves', 'facial', 'hair', 'her', 'his']","['The removal of hair, by using a razor or any other kind of bladed implement.', 'A subdivision of the head that has as parts the layers deep to the surface of the anterior surface.', 'A filament-like structure consisting of a shaft which projects to the surface of the skin from a root which is softer than the shaft and lodges in the cavity of a hair follicle. It is found on most surfaces of the body.', 'To refer to a woman, girl, or female.', 'Belonging to or connected with a man, boy, or male.']",42
48,mhs,45397,the fact that she denies having plastic surgery when her face is obviously chock- full of botox is both very sad and off- putting. it also suggests major psychological issues.,"['plastic surgery', 'face', 'her', 'she']","['The branch of surgery concerned with therapeutic or cosmetic reformation of tissue.', 'A subdivision of the head that has as parts the layers deep to the surface of the anterior surface.', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",43
49,gabhatecorpus,23244,I thought MY beak was huge!! She got that face from sticking her nose in everyone else 's business!,"['face', 'her', 'she']","['A subdivision of the head that has as parts the layers deep to the surface of the anterior surface.', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",44
50,hatexplain,11983762_gab,open invitation to all queers to my christian island republic for public death 1 fags,"['queers', 'fags', 'death']","['A multifaceted term used as an umbrella term for being non-cisgender and/or non-heterosexual.', 'A derogatory term for a gay person, typically a feminine gay man.', 'Death is the permanent cessation of all biological functions that sustain a living, physical organism.']",45
51,mhs,46497,luis carlos castillo torres be quiet illegal or i will call trump fucking pussy hood rat fag,"['fag', 'pussy', 'fucking']","['A derogatory term for a gay person, typically a feminine gay man.', 'Slang for vagina; sometimes used generally as slang for femininity.', 'A rude word used when expressing extreme anger']",46
52,hatexplain,24305121_gab,meh everyone knows you are a sandnigger sharia fag do not you have a mental health facility to be retreating to di sharia,['fag'],"['A derogatory term for a gay person, typically a feminine gay man.']",47
53,mhs,42315,painkiller jones shut up bitch!!!! before those muslims you 're talking about find your ass and slice that throat of yours!!! faggot!,"['faggot', 'bitch']","['A pejorative term to refer to a gay man. It may also be used as a pejorative term for a ""repellent man"" or to refer to women who are lesbian (or to transgender people, typically transgender women). ', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.']",48
54,hatexplain,22396916_gab,the little faggot kid who is voicing this his dad is a special agent for the fbi special operations unit i have been reading,"['faggot', 'his', 'dad', 'kid']","['A pejorative term to refer to a gay man. It may also be used as a pejorative term for a ""repellent man"" or to refer to women who are lesbian (or to transgender people, typically transgender women). ', 'Belonging to or connected with a man, boy, or male.', 'A caretaker and/or immediate progenitor of a child.', 'A child.']",49
55,hatexplain,11087389_gab,i am a veteran i got tired of dealing with faggots and killing sandniggers for jews fuck that,"['faggot', 'killing', 'fuck', 'sandniggers']","['A pejorative term to refer to a gay man. It may also be used as a pejorative term for a ""repellent man"" or to refer to women who are lesbian (or to transgender people, typically transgender women). ', 'An event in which an organism is killed.', 'A rude word used when expressing extreme anger.', 'a pejorative term for people of Middle Eastern or North African descent.']",50
56,hatexplain,24806879_gab,will the cowardly little nazi faggot that downvoted u.s. marines kindly identify yourself so we can all mock you thank you,"['faggot', 'mock']","['A pejorative term to refer to a gay man. It may also be used as a pejorative term for a ""repellent man"" or to refer to women who are lesbian (or to transgender people, typically transgender women). ', 'The act of insulting or making light of a person or other thing, sometimes merely by taunting, but often by making a caricature, purporting to engage in imitation in a way that highlights unflattering characteristics.']",51
57,gabhatecorpus,15141,Tell him to bring his goat and camel fucking faggot ass to America and burn a flag in front of me... I will beat him into a trauma center bare handed that faggot pussy bitch don 't have the balls to come here and do it,"['balls', 'faggot', 'pussy', 'him', 'beat', 'bitch', 'fucking', 'his']","['testicle.', 'A pejorative term to refer to a gay man. It may also be used as a pejorative term for a ""repellent man"" or to refer to women who are lesbian (or to transgender people, typically transgender women). ', 'Slang for vagina; sometimes used generally as slang for femininity.', 'To refer to a man, boy, or male.', 'Assaultive behavior in which a person (who may be considered a victim) is hit or struck repeatedly, with or without a weapon.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.', 'A rude word used when expressing extreme anger', 'Belonging to or connected with a man, boy, or male.']",52
58,hatexplain,1178854367929106432_twitter,fucking ulgly ass bitch ass stinky ass bitch ass nigger slave nigger teacher faggot peace of shit suck a dick,"['dick', 'faggot', 'suck', 'bitch', 'fuck', 'shit']","['A rude word for a penis.', 'A pejorative term to refer to a gay man. It may also be used as a pejorative term for a ""repellent man"" or to refer to women who are lesbian (or to transgender people, typically transgender women). ', 'Any suction exerted by the mouth; response of the mammalian infant to draw milk from the breast. Includes sucking on inanimate objects.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.', 'A rude word meaning to have sex with someone.', 'Solid waste that is released from the bowels of a person or animal. Insults, criticism, or unkind or unfair treatment.']",53
59,hatexplain,25888564_gab,muhammad was a faggot like you muhammad is protected by the state that you worship because saudi arabia buys out politicians now go suck muslim dick,"['dick', 'faggot', 'suck', 'worship']"," ['A rude word for a penis.', 'A pejorative term to refer to a gay man. It may also be used as a pejorative term for a ""repellent man"" or to refer to women who are lesbian (or to transgender people, typically transgender women). ', 'Any suction exerted by the mouth; response of the mammalian infant to draw milk from the breast. Includes sucking on inanimate objects.', 'An act of religious devotion, usually directed towards a deity.']",54
60,mhs,22115,"ministers like this are despicable human beings who prey on those who placed their trust in her as a minister! what kind of life does she think she/ family is going to have by destroying so many families? karma a bitch, who hits you back with a vengeance! url","['family', 'her', 'she', 'bitch']","['A group of people related either by consanguinity (by recognized birth), affinity (by marriage or other relationship), or co-residence (as implied by the etymology of the English word ""family"") or some combination of these.', 'To refer to a woman, girl, or female animal.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.']",55
61,mhs,42363,"the fact that this gorilla in a ""female"" body could dominate as she has shows more how pathetic the females have been... no steffi... no navratilova.... to challenge her/ it.... those who have beaten ""her"" got her to move those elephant trunk legs and fat ass... it takes a whole lot of energy to get all of that going and stopping and going again... will tire her out big time... at the moment serena is as big and fat as ever.... she gotta keep points short or she is in trouble... never the goat... definitely the gorilla","['female', 'her', 'dominate', 'she', 'beaten']","['Having an identity considered female.', 'To refer to a woman, girl, or female.', 'The act of dominating; exercise of power in ruling; dominion; supremacy; authority, often when arbitrary or insolent.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'Assaultive behavior in which a person (who may be considered a victim) is hit or struck repeatedly, with or without a weapon.']",56
62,hatexplain,19792576_gab,it sounds like a kike to me i doubt that is even her photo or it a female <happy>,"['female', 'her', 'kike']","['Having an identity considered female.', 'To refer to a woman, girl, or female.', 'ethnic slur for a Jew.']",57
63,mhs,13156,fuck anyone who tries to use their religion to shame others into performative femininity/ masculinity,"['femininity', 'masculinity', 'shame', 'fuck']","['feminine gender expression: Usage of clothing, behavior, posture, mannerisms, speech patterns, and activites, among other things, to indicate a female gender identity or gender role.', 'masculine gender expression: Usage of clothing, behavior, posture, mannerisms, speech patterns, and activites, among other things, to indicate a male gender identity or gender role.', 'A painful emotion resulting from a feeling of inadequacy, embarrassment, or guilt.', 'A rude word used when expressing extreme anger']",58
64,hatexplain,1179077145777324032_twitter,is intersectional feminism the redneck ideology of the 2 0 2 0 perhaps dm me to read my essay,"['feminism', 'intersectional']","['Feminism is a range of political movements, ideologies, and social movements that share a common goal: to define, establish, and achieve political, economic, personal, and social equality of sexes.', 'A qualitative analytic framework that identifies how interlocking systems of power affect those who are most marginalized in society.']",59
65,hatexplain,24270070_gab,this must be the onion hilarious if true retarded surinam children for desperate feminist bitches,"['feminist', 'bitches', 'children']","['An advocate of feminism; a person who believes in bringing about the equality of the sexes (of women and men) in all aspects of public and private life.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.', 'Plural of child.']",60
66,gabhatecorpus,5285,"The latest trend in Feminism: Dyeing your butthole for equality. That 's right, ladies, say no to bleaching your butthole, that 's just a simple way to say 'I 'm white- washing my butthole!' Dye your butthole a fun color for Feminism! If you aren 't dyeing it, you 're not a real Feminist, so get out there and represent! #Butt Rainbows","['butt', 'rainbows', 'ladies', 'feminist', 'feminism', 'equality']","['Buttock.', 'The rainbow when specifically considered as LGBTQIA+ symbol.', 'A polite or old-fashioned way of referring to or talking to a woman.', 'An advocate of feminism; a person who believes in bringing about the equality of the sexes (of women and men) in all aspects of public and private life.', 'Feminism is a range of political movements, ideologies, and social movements that share a common goal: to define, establish, and achieve political, economic, personal, and social equality of sexes.', 'The quality of being the same in quantity or measure or value or status.']",61
67,mhs,8454,I 'd deport them all to feminist shithole sweden.,['feminist'],['An advocate of feminism; a person who believes in bringing about the equality of the sexes (of women and men) in all aspects of public and private life.'],62
68,gabhatecorpus,22347,How about a princess who survives an abortion. Like fairies pull her out of the medical waste tank and bring her back to life. So the whole movie she is a 12- week- old fetus in a pretty dress having adventures. ,"['princess', 'fetus', 'dress', 'abortion', 'her', 'she']","['an important female member of a royal family', 'Developmental organism from 8 weeks of gestation to birth.', 'A garment consisting of a skirt with an attached bodice.', 'Abortion is the ending of pregnancy due to removing an embryo or fetus before it can survive outside the uterus.', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",63
69,mhs,29191,"do you see this? while we were all going crazy over trump and his stupid parade, this was actually happening!! a migrant lost her fetus while in border patrol custody on july 4 url","['fetus', 'her', 'his']","['Developmental organism from 8 weeks of gestation to birth.', 'To refer to a woman, girl, or female.', 'Belonging to or connected with a man, boy, or male.']",64
70,mhs,47124,"@conway79 illhan omar was loves al qaeda hates the usa, her and cow farts cortez are both anti semitic bit like your labour party.",['her'],"[ 'To refer to a woman, girl, or female.']",65
71,hatexplain,10575698_gab,sucks farts out of obese sheboons,"['sheboon', 'sucks']","['Derogatory term for black woman', 'Any suction exerted by the mouth; response of the mammalian infant to draw milk from the breast. Includes sucking on inanimate objects.']",66
72,xtremespeech,13858,,"['foreskin', 'bitch']","['The loose skin that covers the end of the penis (= male sex organ).', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.']",67
73,gabhatecorpus,20024,HAHA- Joy Reid steps in shit as she gets busted making libtard triggering anti- gay comments because she doesn 't know how to spell 'feud' https:// www.infowars.com/ busted- joy- reid- misspelling- suggests- she- did- write- homophobic- blog- posts/,"['gay', 'homophobic', 'she']","['Sexual attraction between two or more people of the same gender or the same gender-area (for example, a man being attracted to a transmasculine person), especially between two men.',  'A range of negative attitudes and feelings toward homosexuality and gay people. It has been defined as contempt, prejudice, aversion, hatred or antipathy, may be based on irrational fear and ignorance, and is often related to religious beliefs.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",68
74,gabhatecorpus,23816,"I don 't think I am being gullible ,Jews made up less than half of the holocaust 's victims .Gypsies and Russians made a considerable portion of the rest .Not to mention homosexuals and the mentally ill .If it is an international racist insult it falls flat .","['homosexuals', 'insult']","['The state of being sexually and romantically attracted primarily or exclusively to persons of a gender identity the same as one's own.', 'A behavior which is deemed disrespectful or scornful.']",69
